Column1,estimator,sensitivity,dataset,size,mse
1,mbe,breiman,baakman_1,60000,8.32E-09
4,sambe,breiman,baakman_1,60000,9.05E-09
3,Parzen,NA,baakman_1,baakman_1,7.75E-09
2,mbe,silverman,baakman_1,60000,1.49E-08
5,sambe,silverman,baakman_1,60000,1.54E-08
6,mbe,breiman,baakman_2,60000,5.74E-08
9,sambe,breiman,baakman_2,60000,5.81E-08
8,Parzen,NA,baakman_2,60000,1.14E-07
7,mbe,silverman,baakman_2,60000,5.15E-08
10,sambe,silverman,baakman_2,60000,5.17E-08
11,mbe,breiman,baakman_3,120000,5.07E-06
14,sambe,breiman,baakman_3,120000,5.11E-06
13,Parzen,NA,baakman_3,120000,5.75E-06
12,mbe,silverman,baakman_3,120000,4.19E-06
15,sambe,silverman,baakman_3,120000,4.28E-06
16,mbe,breiman,baakman_4,60000,1.20E-08
19,sambe,breiman,baakman_4,60000,1.25E-08
18,Parzen,NA,baakman_4,60000,7.77E-09
17,mbe,silverman,baakman_4,60000,2.94E-08
20,sambe,silverman,baakman_4,60000,2.96E-08
21,mbe,breiman,baakman_5,60000,2.10E-08
24,sambe,breiman,baakman_5,60000,2.14E-08
23,Parzen,NA,baakman_5,60000,8.76E-09
22,mbe,silverman,baakman_5,60000,5.57E-08
25,sambe,silverman,baakman_5,60000,5.58E-08
26,mbe,breiman,ferdosi_1,60000,7.22E-09
29,sambe,breiman,ferdosi_1,60000,8.31E-09
28,Parzen,NA,ferdosi_1,60000,8.03E-09
27,mbe,silverman,ferdosi_1,60000,8.31E-09
30,sambe,silverman,ferdosi_1,60000,8.91E-09
31,mbe,breiman,ferdosi_2,60000,5.47E-08
34,sambe,breiman,ferdosi_2,60000,5.53E-08
33,Parzen,NA,ferdosi_2,60000,1.01E-07
32,mbe,silverman,ferdosi_2,60000,5.06E-08
35,sambe,silverman,ferdosi_2,60000,5.05E-08
36,mbe,breiman,ferdosi_3,120000,5.15E-06
39,sambe,breiman,ferdosi_3,120000,5.18E-06
38,Parzen,NA,ferdosi_3,120000,5.75E-06
37,mbe,silverman,ferdosi_3,120000,4.37E-06
40,sambe,silverman,ferdosi_3,120000,4.46E-06
41,mbe,breiman,ferdosi_4,60000,9.58E-10
44,sambe,breiman,ferdosi_4,60000,9.63E-10
43,Parzen,NA,ferdosi_4,60000,1.27E-09
42,mbe,silverman,ferdosi_4,60000,8.83E-10
45,sambe,silverman,ferdosi_4,60000,9.06E-10
46,mbe,breiman,ferdosi_5,60000,8.73E-12
49,sambe,breiman,ferdosi_5,60000,6.48E-12
48,Parzen,NA,ferdosi_5,60000,9.37E-12
47,mbe,silverman,ferdosi_5,60000,8.50E-12
50,sambe,silverman,ferdosi_5,60000,6.30E-12